label,video_url,file_exists
A,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aSm_Prog001.mp4,True
ABACATE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abacateSm_Prog001.mp4,True
ABACAXI,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abacaxiSm_Prog001.mp4,True
ABAFAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abafarSm_Prog001.mp4,True
ABAIXO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abaixoSm_Prog001.mp4,True
ABAIXO-ASSINADO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abaixo-assinadoSm_Prog001.mp4,True
ABAJUR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abajurSm_Prog001.mp4,True
ABANAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abanarSm_Prog001.mp4,True
ABANDONAR1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abandonar1Sm_Prog001.mp4,True
ABANDONAR2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abandonar2Sm_Prog001.mp4,True
ABARROTADO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abarrotadoSm_Prog001.mp4,True
ABASTADO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abastadoSm_Prog001.mp4,True
ABATIDO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abatidoSm_Prog001.mp4,True
ABATIMENTO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abatimentoSm_Prog001.mp4,True
ABDICAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abdicarSm_Prog001.mp4,True
ABDÔMEN,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abdomenSm_Prog001.mp4,True
ABELHA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abelhaSm_Prog001.mp4,True
ABENÇOAR1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abencoar1Sm_Prog001.mp4,True
ABENÇOAR2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abencoar2Sm_Prog001.mp4,True
ABERTO1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aberto1Sm_Prog001.mp4,True
