filename,label,data_source,frame_count,fps,duration_sec,width,height
ajudar_ne_1.mp4,ajudar,ne,44,12.0,3.6666666666666665,240,176
ajudar_sb_2.mp4,ajudar,sb,79,29.97002997002997,2.6359666666666666,1280,720
ajudar_uf_3.mp4,ajudar,uf,115,29.97002997002997,3.8371666666666666,480,270
ajudar_vl_4.mp4,ajudar,vl,141,29.97002997002997,4.7047,1920,1080
ajudar_vl_5.mp4,ajudar,vl,289,29.97002997002997,9.642966666666666,1920,1080
ajudar_vl_6.mp4,ajudar,vl,310,60.0,5.166666666666667,1920,1080
animal_ne_1.mp4,animal,ne,71,12.0,5.916666666666667,240,176
animal_sb_2.mp4,animal,sb,74,29.97002997002997,2.469133333333333,1280,720
animal_uf_3.mp4,animal,uf,127,29.97002997002997,4.237566666666667,480,270
animal_vl_4.mp4,animal,vl,116,23.976023976023978,4.838166666666666,1920,1080
animal_vl_5.mp4,animal,vl,145,29.97002997002997,4.838166666666667,1920,1080
animal_vl_6.mp4,animal,vl,181,29.97002997002997,6.039366666666667,1920,1080
aniversário_ne_1.mp4,aniversário,ne,74,12.0,6.166666666666667,240,176
aniversário_sb_2.mp4,aniversário,sb,67,29.97002997002997,2.2355666666666667,1280,720
aniversário_uf_3.mp4,aniversário,uf,120,29.97002997002997,4.0040000000000004,480,270
aniversário_vl_4.mp4,aniversário,vl,263,60.0,4.383333333333334,1920,1080
aniversário_vl_5.mp4,aniversário,vl,152,29.97002997002997,5.071733333333333,1920,1080
aniversário_vl_6.mp4,aniversário,vl,269,59.94005994005994,4.487816666666666,1920,1080
ano_ne_1.mp4,ano,ne,58,12.0,4.833333333333333,240,176
ano_sb_2.mp4,ano,sb,70,29.97002997002997,2.3356666666666666,1280,720
ano_uf_3.mp4,ano,uf,108,29.97002997002997,3.6036,480,270
ano_vl_4.mp4,ano,vl,168,29.97002997002997,5.6056,1920,1080
ano_vl_5.mp4,ano,vl,191,29.97002997002997,6.373033333333334,1920,1080
ano_vl_6.mp4,ano,vl,428,60.0,7.133333333333334,1920,1080
banana_ne_1.mp4,banana,ne,51,12.0,4.25,240,176
banana_sb_2.mp4,banana,sb,71,29.97002997002997,2.3690333333333333,1920,1080
banana_uf_3.mp4,banana,uf,246,29.97002997002997,8.2082,1920,1080
banana_vl_4.mp4,banana,vl,168,29.97002997002997,5.6056,1920,1080
banana_vl_5.mp4,banana,vl,378,59.94005994005994,6.3063,1280,720
banana_vl_6.mp4,banana,vl,355,59.94005994005994,5.922583333333334,1920,1080
banheiro_ne_1.mp4,banheiro,ne,46,12.0,3.8333333333333335,240,176
banheiro_sb_2.mp4,banheiro,sb,85,29.97002997002997,2.8361666666666667,1920,1080
banheiro_uf_3.mp4,banheiro,uf,132,29.97002997002997,4.4044,480,270
banheiro_vl_4.mp4,banheiro,vl,300,59.94005994005994,5.005,1920,1080
banheiro_vl_5.mp4,banheiro,vl,129,29.97002997002997,4.3043000000000005,1920,1080
banheiro_vl_6.mp4,banheiro,vl,354,59.94005994005994,5.9059,1280,720
bebê_ne_1.mp4,bebê,ne,49,12.0,4.083333333333333,240,176
bebê_sb_2.mp4,bebê,sb,81,29.97002997002997,2.7027,1280,720
bebê_uf_3.mp4,bebê,uf,127,29.97002997002997,4.237566666666667,480,270
bebê_vl_4.mp4,bebê,vl,207,29.97002997002997,6.9069,1920,1080
bebê_vl_5.mp4,bebê,vl,357,59.94005994005994,5.9559500000000005,1280,720
bebê_vl_6.mp4,bebê,vl,331,59.94005994005994,5.522183333333333,1920,1080
cabeça_ne_1.mp4,cabeça,ne,61,12.0,5.083333333333333,240,176
cabeça_sb_2.mp4,cabeça,sb,88,29.97002997002997,2.9362666666666666,1280,720
cabeça_uf_3.mp4,cabeça,uf,107,29.97002997002997,3.5702333333333334,480,270
cabeça_vl_4.mp4,cabeça,vl,169,29.97002997002997,5.638966666666667,1920,1080
cabeça_vl_5.mp4,cabeça,vl,176,29.97002997002997,5.872533333333333,1920,1080
cabeça_vl_6.mp4,cabeça,vl,247,59.94005994005994,4.120783333333334,1920,1080
café_ne_1.mp4,café,ne,39,12.0,3.25,240,176
café_sb_2.mp4,café,sb,61,29.97002997002997,2.0353666666666665,1280,720
café_uf_3.mp4,café,uf,153,29.97002997002997,5.1051,1920,1080
café_vl_4.mp4,café,vl,196,29.97002997002997,6.539866666666667,1920,1080
café_vl_5.mp4,café,vl,312,59.94005994005994,5.2052000000000005,1920,1080
café_vl_6.mp4,café,vl,161,29.97002997002997,5.372033333333333,1920,1080
carne_ne_1.mp4,carne,ne,47,12.0,3.9166666666666665,240,176
carne_sb_2.mp4,carne,sb,60,29.97002997002997,2.0020000000000002,1280,720
carne_uf_3.mp4,carne,uf,121,29.97002997002997,4.037366666666666,1920,1080
carne_vl_4.mp4,carne,vl,165,29.97002997002997,5.5055000000000005,1920,1080
carne_vl_5.mp4,carne,vl,253,29.97002997002997,8.441766666666666,1920,1080
carne_vl_6.mp4,carne,vl,248,59.94005994005994,4.137466666666667,1920,1080
casa_ne_1.mp4,casa,ne,37,12.0,3.0833333333333335,240,176
casa_sb_2.mp4,casa,sb,64,29.97002997002997,2.135466666666667,1280,720
casa_uf_3.mp4,casa,uf,135,29.97002997002997,4.5045,1920,1080
casa_vl_4.mp4,casa,vl,196,29.97002997002997,6.539866666666667,1920,1080
casa_vl_5.mp4,casa,vl,195,29.97002997002997,6.5065,1920,1080
casa_vl_6.mp4,casa,vl,276,59.94005994005994,4.6046000000000005,1920,1080
cebola_ne_1.mp4,cebola,ne,53,12.0,4.416666666666667,240,176
cebola_sb_2.mp4,cebola,sb,82,29.97002997002997,2.736066666666667,1280,720
cebola_uf_3.mp4,cebola,uf,195,29.97002997002997,6.5065,1920,1080
cebola_vl_4.mp4,cebola,vl,209,29.97002997002997,6.973633333333334,1920,1080
cebola_vl_5.mp4,cebola,vl,265,29.97002997002997,8.842166666666667,1920,1080
cebola_vl_6.mp4,cebola,vl,276,29.97002997002997,9.209200000000001,1920,1080
comer_ne_1.mp4,comer,ne,51,12.0,4.25,240,176
comer_sb_2.mp4,comer,sb,74,29.97002997002997,2.469133333333333,1280,720
comer_uf_3.mp4,comer,uf,108,29.97002997002997,3.6036,480,270
comer_vl_4.mp4,comer,vl,164,29.97002997002997,5.472133333333334,1920,1080
comer_vl_5.mp4,comer,vl,104,29.97002997002997,3.4701333333333335,1920,1080
comer_vl_6.mp4,comer,vl,249,59.94005994005994,4.1541500000000005,1920,1080
cortar_ne_1.mp4,cortar,ne,42,12.0,3.5,240,176
cortar_sb_2.mp4,cortar,sb,62,29.97002997002997,2.0687333333333333,1280,720
cortar_uf_3.mp4,cortar,uf,133,29.97002997002997,4.437766666666667,480,270
cortar_vl_4.mp4,cortar,vl,155,29.97002997002997,5.171833333333334,1920,1080
cortar_vl_5.mp4,cortar,vl,151,29.97002997002997,5.038366666666667,1920,1080
cortar_vl_6.mp4,cortar,vl,131,29.97002997002997,4.371033333333333,1920,1080
crescer_ne_1.mp4,crescer,ne,46,12.0,3.8333333333333335,240,176
crescer_sb_2.mp4,crescer,sb,74,29.97002997002997,2.469133333333333,1280,720
crescer_uf_3.mp4,crescer,uf,140,29.97002997002997,4.671333333333333,480,270
crescer_vl_4.mp4,crescer,vl,145,59.94005994005994,2.4190833333333335,1920,1080
crescer_vl_5.mp4,crescer,vl,138,29.97002997002997,4.6046000000000005,1920,1080
crescer_vl_6.mp4,crescer,vl,347,59.94005994005994,5.789116666666667,1280,720
família_ne_1.mp4,família,ne,39,12.0,3.25,240,176
família_sb_2.mp4,família,sb,81,29.97002997002997,2.7027,1920,1080
família_uf_3.mp4,família,uf,138,29.97002997002997,4.6046000000000005,480,270
família_vl_4.mp4,família,vl,122,29.97002997002997,4.070733333333333,1920,1080
família_vl_5.mp4,família,vl,163,29.97002997002997,5.438766666666667,1920,1080
família_vl_6.mp4,família,vl,329,59.94005994005994,5.488816666666667,1920,1080
filho_ne_1.mp4,filho,ne,33,12.0,2.75,240,176
filho_sb_2.mp4,filho,sb,74,29.97002997002997,2.469133333333333,1280,720
filho_uf_3.mp4,filho,uf,116,29.97002997002997,3.8705333333333334,480,270
filho_vl_4.mp4,filho,vl,386,59.94005994005994,6.439766666666666,1280,720
filho_vl_5.mp4,filho,vl,196,29.97002997002997,6.539866666666667,1920,1080
filho_vl_6.mp4,filho,vl,142,29.97002997002997,4.738066666666667,1920,1080
garganta_ne_1.mp4,garganta,ne,39,12.0,3.25,240,176
garganta_sb_2.mp4,garganta,sb,57,29.97002997002997,1.9019,1280,720
garganta_uf_3.mp4,garganta,uf,114,29.97002997002997,3.8038,480,270
garganta_vl_4.mp4,garganta,vl,178,29.97002997002997,5.939266666666667,1920,1080
garganta_vl_5.mp4,garganta,vl,161,29.97002997002997,5.372033333333333,1920,1080
garganta_vl_6.mp4,garganta,vl,316,59.94005994005994,5.271933333333333,1920,1080
homem_ne_1.mp4,homem,ne,41,12.0,3.4166666666666665,240,176
homem_sb_2.mp4,homem,sb,64,29.97002997002997,2.135466666666667,1280,720
homem_uf_3.mp4,homem,uf,117,29.97002997002997,3.9039,480,270
homem_vl_4.mp4,homem,vl,142,29.97002997002997,4.738066666666667,1920,1080
homem_vl_5.mp4,homem,vl,149,29.97002997002997,4.971633333333333,1920,1080
homem_vl_6.mp4,homem,vl,291,59.94005994005994,4.85485,1920,1080
jovem_ne_1.mp4,jovem,ne,33,12.0,2.75,240,176
jovem_sb_2.mp4,jovem,sb,61,29.97002997002997,2.0353666666666665,1280,720
jovem_uf_3.mp4,jovem,uf,123,29.97002997002997,4.1041,480,270
jovem_vl_4.mp4,jovem,vl,187,29.97002997002997,6.239566666666667,1920,1080
jovem_vl_5.mp4,jovem,vl,198,29.97002997002997,6.6066,1920,1080
jovem_vl_6.mp4,jovem,vl,322,59.94005994005994,5.372033333333333,1920,1080
ouvir_ne_1.mp4,ouvir,ne,36,12.0,3.0,240,176
ouvir_sb_2.mp4,ouvir,sb,60,29.97002997002997,2.0020000000000002,1280,720
ouvir_uf_3.mp4,ouvir,uf,61,29.97002997002997,2.0353666666666665,480,270
ouvir_vl_4.mp4,ouvir,vl,156,29.97002997002997,5.2052000000000005,1920,1080
ouvir_vl_5.mp4,ouvir,vl,273,59.94005994005994,4.55455,1920,1080
ouvir_vl_6.mp4,ouvir,vl,155,29.97002997002997,5.171833333333334,1920,1080
pai_ne_1.mp4,pai,ne,41,12.0,3.4166666666666665,240,176
pai_sb_2.mp4,pai,sb,52,29.97002997002997,1.7350666666666668,1280,720
pai_uf_3.mp4,pai,uf,111,29.97002997002997,3.7037,480,270
pai_vl_4.mp4,pai,vl,302,59.94005994005994,5.038366666666667,1920,1080
pai_vl_5.mp4,pai,vl,193,29.97002997002997,6.439766666666666,1920,1080
pai_vl_6.mp4,pai,vl,157,29.97002997002997,5.238566666666666,1920,1080
pessoa_ne_1.mp4,sopa,ne,35,12.0,2.9166666666666665,240,176
pessoa_sb_2.mp4,sopa,sb,63,29.97002997002997,2.1021,1280,720
pessoa_uf_3.mp4,sopa,uf,97,29.97002997002997,3.2365666666666666,480,270
pessoa_vl_4.mp4,sopa,vl,187,29.97002997002997,6.239566666666667,1920,1080
pessoa_vl_5.mp4,sopa,vl,147,29.97002997002997,4.9049000000000005,1920,1080
pessoa_vl_6.mp4,sopa,vl,165,29.97002997002997,5.5055000000000005,1920,1080
sopa_ne_1.mp4,sorvete,ne,41,12.0,3.4166666666666665,240,176
sopa_sb_2.mp4,sorvete,sb,74,29.97002997002997,2.469133333333333,1280,720
sopa_uf_3.mp4,sorvete,uf,184,29.97002997002997,6.139466666666666,1920,1080
sopa_vl_4.mp4,sorvete,vl,189,29.97002997002997,6.3063,1920,1080
sopa_vl_5.mp4,sorvete,vl,267,29.97002997002997,8.908900000000001,1920,1080
sopa_vl_6.mp4,sorvete,vl,331,60.0,5.516666666666667,1920,1080
sorvete_ne_1.mp4,vagina,ne,32,12.0,2.6666666666666665,240,176
sorvete_sb_2.mp4,vagina,sb,70,29.97002997002997,2.3356666666666666,1280,720
sorvete_uf_3.mp4,vagina,uf,151,29.97002997002997,5.038366666666667,1920,1080
sorvete_vl_4.mp4,vagina,vl,235,29.97002997002997,7.841166666666667,1920,1080
sorvete_vl_5.mp4,vagina,vl,433,59.94005994005994,7.223883333333333,1920,1080
sorvete_vl_6.mp4,vagina,vl,163,29.97002997002997,5.438766666666667,1920,1080
vagina_ne_1.mp4,,,29,12.0,2.4166666666666665,240,176
vagina_sb_2.mp4,,,64,29.97002997002997,2.135466666666667,1280,720
vagina_uf_3.mp4,,,110,29.97002997002997,3.6703333333333332,480,270
vagina_vl_4.mp4,,,150,29.97002997002997,5.005,1920,1080
vagina_vl_5.mp4,,,215,29.97002997002997,7.1738333333333335,1920,1080
vagina_vl_6.mp4,,,389,60.0,6.483333333333333,1920,1080
