Word,category,example_pt,example_libras,video_url,hand_gesture
PREVIOUS,Escola,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/agramatical.mp4,
NEXT,Escola,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/agramatical.mp4,
Agramatical,Escola,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/agramatical.mp4,
Alfabetização,Escola,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/alfabetiza%C3%A7%C3%A3o-1.mp4,
Aluno,Escola,Meus alunos são disciplinados.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/aluno.mp4,
Ambiguidade,Escola,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/ambiguidade.mp4,
Analogia,Escola,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/analogia.mp4,
Antonímia,Escola,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/antonimia.mp4,
Apontador,Escola,Preciso de um apontador emprestado.,POR-FAVOR EMPRESTAR APONTADOR?,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1205-apontador.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/37.jpg
Aprendizagem,Escola,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/aprendizagem.mp4,
Aquisição da língua de sinais,Escola,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/aquisi%C3%A7%C3%A3o-da-lingua-de-sinais.mp4,
Aquisição da linguagem,Escola,Eu estudo sobre a aquisição da linguagem.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/aquisi%C3%A7%C3%A3o-da-linguagem.mp4,
Aquisição de segunda língua,Escola,"Aprender Libras, para mim, é um processo de aquisição de segunda língua.",,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/aquisi%C3%A7%C3%A3o-de-segunda-l%C3%ADngua.mp4,
Biblioteca,Escola,A biblioteca da minha cidade tem muitos livros.,BIBLIOTECA MINHA CIDADE TER LIVRO-MUITO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1206-biblioteca.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/03.jpg
Caderno,Escola,Que caderno bonito!,UAU CADERNO BONITO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1207-caderno.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/02.jpg
Caneta,Escola,Tenho caneta de várias cores.,EU TER CANETAS CORES-VARIADO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1208-caneta.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/64.jpg
Cartaz,Escola,Vamos colar cartazes do bingo por toda a cidade.,NÓS COLAR CARTAZES CIDADE TODA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/09/01126-cartaz.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/24.jpg
Ciência,Escola,Gosto de aprender na escola a matéria de ciências.,EU GOSTAR-MUITO CIÊNCIAS DISCIPLINA ESCOLA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/09/01118-ciencia.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/12.jpg
Concurso,Escola,A minha filha passou no concurso para trabalhar na Universidade.,MEU FILHO CONCURSO PASSAR TRABALHAR UNIVERSIDADE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/455-concurso.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/12.jpg
Corretivo,Escola,Esqueci de comprar um corretivo.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01625-Corretivo.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/17.jpg
Desenho,Escola,Comprei o desenho de um gato.,EU COMPRAR DESENHO GATO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/636-desenho.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/26.jpg
Dicionário,Escola,Precisamos consultar no dicionário.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/dicionario.mp4,
Diretor,Escola,O diretor é muito competente.,DIRETOR PERFEITO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1209-diretor.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/53.jpg
Escola,Escola,Eu moro perto da escola.,EU MORAR PERTO ESCOLA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1210-escola.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/02.jpg
Estojo,Escola,"No estojo guardo lápis, caneta e tesoura.",ESTOJOa LÁPIS-TESOURA-CANETAb aGUARDARb.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1211-estojo.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/43.jpg
Fita Adesiva,Escola,Preciso de fita adesiva para colar o cartaz na parede.,EU PRECISAR FITA-ADESIVA COLAR CARTAZ.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1212-fitaAdesiva.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/38.jpg
Giz,Escola,A professora tem alergia à giz.,PROFESSORA TER ALERGIA GIZ.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1213-giz.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/64.jpg
Idioma,Escola,"Na minha escola estamos aprendendo dois idiomas diferentes, inglês e espanhol.",MINHA ESCOLA APRENDER DOIS IDIOMA INGLÊS ESPANHOL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01136-idioma.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/25.jpg
Imagem,Escola,Tenho a imagem de um cantor colada na porta da minha geladeira.,VOCÊ IMAGEM ENCONTRAR INTERNET?,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/639-imagem.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/65.jpg
Lápis,Escola,Irei comprar um lápis novo.,LAPIS MEU ONDE,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01483-Lapis.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/47.jpg
Lápis de cor,Escola,Eu tenho um lápis de cor azul.,,Not Available,
Libras,Escola,Estou aprendendo Libras.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01691-libras.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/05.jpg
Mochila,Escola,A minha mochila é preta.,VOCE ENCONTRAR MOCHILA SUA,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01486-Mochila.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/68.jpg
Palavra,Escola,Hoje aprendi várias palavras novas.,HOJE EU APRENDER PALAVRAS NOVAS.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01144-palavra.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/43.jpg
Papel,Escola,Pegue o papel que está no chão.,EU PRECISAR PAPEL ENCONTRAR ONDE,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01489-Papel.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/24.jpg
Pasta,Escola,Minha pasta está muito desorganizada.,,Not Available,
Português,Escola,"Eu sei falar português, inglês e espanhol.",,Not Available,
Quadro,Escola,Coloquei vários quadros na parede da minha sala.,EU COLOCAR QUADRO-VÁRIOS SALA PAREDE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/642-quadro.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/49.jpg
Quadro Negro,Escola,"A professora utiliza pouco o quadro negro, prefere slides.",PROFESSOR@ USAR QUADRO POUCO PREFERIR SLIDE,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01493-Quadro-Negro.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/40.jpg
Sala de aula,Escola,Sala de aula é lugar de aprender.,SALA-ESTUDAR LUGAR APRENDER.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1220-saladeaula.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/43.jpg
Sala de vídeo,Escola,Assistimos à um filme na sala de vídeo.,NÓS VER FILME SALA-VÍDEO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1221-saladevideo.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/49.jpg
Sala dos professores,Escola,Na sala dos professores há vários computadores.,SALA-PROFESSOR TER VÁRIOS COMPUTADOR.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1222-saladosprofessores.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/49.jpg
Secretaria,Escola,"Pra entrar na escola, precisa ir na secretaria para fazer a matrícula.",MATRICULA EU PRECISAR IR SECRETARIA ESCOLA,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01499-Secretaria.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/02.jpg
Universidade,Escola,Estudo na universidade federal.,,Not Available,
Basquete,Esporte e Diversão,Eu assisti ao jogo de basquete na televisão.,TELEVISÃO JOGO DE BASQUETE EU VER.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00959-basquete.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/15.jpg
Boliche,Esporte e Diversão,O meu pai ama jogar boliche.,,Not Available,
Boxe,Esporte e Diversão,Todo sábado meu filho treina boxe.,SÁBADO MEU FILHO TREINAR BOXE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00963-boxe.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/11.jpg
Canoagem,Esporte e Diversão,No acampamento tem canoagem.,,Not Available,
Ciclismo,Esporte e Diversão,Na minha cidade tem competição de ciclismo.,MINHA CIDADE TER COMPETIÇÃO CICLISMO SEMPRE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00967-ciclismo.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/69.jpg
Corrida,Esporte e Diversão,Assisti na tv o esporte corrida.,TELEVISÃO CORRIDA EU VER.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00969-corrida.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/69.jpg
Futebol,Esporte e Diversão,Sempre participo da equipe de futebol com o amigo.,EU JOGAR FUTEBOL JUNTO AMIGO SEMPRE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00975-futebol.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/68.jpg
Ginástica,Esporte e Diversão,Vários tipos de ginástica fazem bem para a saúde.,GINÁSTICA AJUDA SAÚDE BOA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1233-ginastica.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/69.jpg
Gol,Esporte e Diversão,Eu fiz um gol ontem.,EU GOL ONTEM.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00976-gol.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/41.jpg
Golfe,Esporte e Diversão,Me dá muita alegria jogar golfe.,JOGAR GOLFE DIVERTIDO-MUITO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1234-golfe.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/47.jpg
Handebol,Esporte e Diversão,A equipe feminina ganhou a competição de handebol.,EQUIPE FEMININA GANHAR CAMPEONATO HANDEBOL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00977-handbol.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/15.jpg
Judô,Esporte e Diversão,Meu irmão é um ótimo lutador de judô.,,Not Available,
Mímica,Esporte e Diversão,Estou fazendo aula de mímica.,,Not Available,
Natação,Esporte e Diversão,Quero participar do treinamento de natação.,EU QUERER PARTICIPAR TORNEIO NATAÇÃO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00981-natacao.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/02.jpg
